Location Title,Latitude {N+/S-},Longitude {E+/W-},TimeZone {+/- GMT},Elevation {m}
LOCATION_OTTAWA-INTL-ONT_-_CAN_Custom-716280_716280,45.32,-75.67,-5.0,114.0
Number of Design Conditions,Title of Design Condition,,Design Stat,ColdestMonth,DB996,DB990,DP996,HR_DP996,DB_DP996,DP990,HR_DP990,DB_DP990,WS004c,DB_WS004c,WS010c,DB_WS010c,WS_DB996,WD_DB996,Design Stat,HottestMonth,DBR,DB004,WB_DB004,DB010,WB_DB010,DB020,WB_DB020,WB004,DB_WB004,WB010,DB_WB010,WB020,DB_WB020,WS_DB004,WD_DB004,DP004,HR_DP004,DB_DP004,DP010,HR_DP010,DB_DP010,DP020,HR_DP020,DB_DP020,EN004,DB_EN004,EN010,DB_EN010,EN020,DB_EN020,#Hrs_8-4_&_DB-12.8/20.6,Design Stat,WS010,WS025,WS050,WBmax,DBmin_mean,DBmax_mean,DBmin_stddev,DBmax_stddev,DBmin05years,DBmax05years,DBmin10years,DBmax10years,DBmin20years,DBmax20years,DBmin50years,DBmax50years
,,,Units,{},{°C},{°C},{°C},{},{°C},{°C},{},{°C},{m/s},{°C},{m/s},{°C},{m/s},{deg},Units,{},{°C},{°C},{°C},{°C},{°C},{°C},{°C},{°C},{°C},{°C},{°C},{°C},{°C},{m/s},{deg},{°C},{},{°C},{°C},{},{°C},{°C},{},{°C},{kJ/kg},{°C},{kJ/kg},{°C},{kJ/kg},{°C},{},Units,{m/s},{m/s},{m/s},{°C},{°C},{°C},{°C},{°C},{°C},{°C},{°C},{°C},{°C},{°C},{°C},{°C}
1,Climate Design Data 2013 ASHRAE Handbook,,Heating,1,-24.2,-21.5,-30.9,0.2,-23.5,-28.2,0.3,-21.1,11.5,-6.8,10.4,-8.5,3.6,280,Cooling,7,9.9,30.6,21.9,28.9,20.8,27.3,20,23.2,28.3,22.2,26.8,21.2,25.6,4.4,220,21.6,16.5,25.9,20.7,15.5,24.8,19.6,14.6,23.9,69.7,28.4,65.7,26.8,62.2,25.5,703,Extremes,10,8.8,7.8,27.3,-27,33.3,3.1,1.8,-29.2,34.6,-31,35.7,-32.8,36.7,-35,38
Number of Typical/Extreme Periods,Period Name,Period Type,Period Start Day,Period End Day,<repeat to # periods>
6,Summer - Week Nearest Max Temperature For Period,Extreme,7/27,8/ 2,Summer - Week Nearest Average Temperature For Period,Typical,8/ 3,8/ 9,Winter - Week Nearest Min Temperature For Period,Extreme,1/27,2/ 2,Winter - Week Nearest Average Temperature For Period,Typical,2/10,2/16,Autumn - Week Nearest Average Temperature For Period,Typical,10/13,10/19,Spring - Week Nearest Average Temperature For Period,Typical,4/26,5/ 2
Number of Ground Temperature Depths,Ground Temperature Depth {m},Soil Conductivity {W/m-K},Soil Density {kg/m3},Soil Specific Heat {J/kg-K},Jan {C},Feb{C},Mar {C},Apr {C},May {C},Jun {C},Jul {C},Aug {C},Sep {C},Oct {C},Nov {C},Dec {C},<repeat to Number of temperature depths>
3,.5,,,,-8.30,-9.69,-7.22,-3.37,6.73,14.51,19.77,21.37,18.64,12.60,4.52,-2.98,2,,,,-3.18,-5.66,-5.16,-3.11,3.65,9.75,14.64,17.26,16.70,13.27,7.70,1.80,4,,,,1.05,-1.49,-2.05,-1.28,2.55,6.66,10.43,13.05,13.67,12.18,8.91,4.92
Leap Year Observed?,Daylight Saving Start Date,Daylight Saving End Date,Number of Holidays,Holiday Name,Holiday Date,<repeat for # Holidays>
No,0,0,0
Comment Line #1
Custom/User Format -- WMO#716280
Comment Line #2
 -- Ground temps produced with a standard soil diffusivity of 2.3225760E-03 {m**2/day}
Number of Data Periods [DP],Number of Intervals per Hour,DP Name/Description,DP Start Day of Week,DP Start Day, DP End Day,<repeat to # Data Periods>
1,1,Data,Tuesday,1/ 1,12/31
Date,HH:MM,Datasource,DryBulb {C},DewPoint {C},RelHum {%},Atmos Pressure {Pa},ExtHorzRad {Wh/m2},ExtDirRad {Wh/m2},HorzIRSky {Wh/m2},GloHorzRad {Wh/m2},DirNormRad {Wh/m2},DifHorzRad {Wh/m2},GloHorzIllum {lux},DirNormIllum {lux},DifHorzIllum {lux},ZenLum {Cd/m2},WindDir {deg},WindSpd {m/s},TotSkyCvr {.1},OpaqSkyCvr {.1},Visibility {km},Ceiling Hgt {m},PresWeathObs,PresWeathCodes,Precip Wtr {mm},Aerosol Opt Depth {.001},SnowDepth {cm},Days Last Snow,Albedo {.01},Rain {mm},Rain Quantity {hr}
Date,HH:MM,Datasource,Dry Bulb Temperature {C},Dew Point Temperature {C},Relative Humidity {%},Atmospheric Pressure {Pa},Extraterrestrial Horizontal Radiation {Wh/m2},Extraterrestrial Direct Normal Radiation {Wh/m2},Horizontal Infrared Radiation Intensity from Sky {Wh/m2},Global Horizontal Radiation {Wh/m2},Direct Normal Radiation {Wh/m2},Diffuse Horizontal Radiation {Wh/m2},Global Horizontal Illuminance {lux},Direct Normal Illuminance {lux},Diffuse Horizontal Illuminance {lux},Zenith Luminance {Cd/m2},Wind Direction {deg},Wind Speed {m/s},Total Sky Cover {.1},Opaque Sky Cover {.1},Visibility {km},Ceiling Height {m},Present Weather Observation,Present Weather Codes,Precipitable Water {mm},Aerosol Optical Depth {.001},Snow Depth {cm},Days Since Last Snow,Albedo {.01},Liquid Precipitation Depth {mm},Liquid Precipitation Quantity {hr}
2019/1/1,01:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9?9*_*9*9,-0.8,-1.3,96,98400,0,0,261,0,0,0,0,0,0,0,40,8.2,6,6,2.4,91,9,'999999999,80,0.0000,0,88,999.000,1.0,1.0
2019/1/1,02:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9?9*_*9*9,0.0,-1.0,93,98200,0,0,268,0,0,0,0,0,0,0,50,7.2,7,7,6.4,91,9,'999999999,89,0.0000,0,88,999.000,1.0,1.0
2019/1/1,03:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9?9*_*9*9,0.0,0.0,100,98100,0,0,273,0,0,0,0,0,0,0,30,7.7,8,8,6.4,122,9,'999999999,89,0.0000,0,88,999.000,1.0,1.0
2019/1/1,04:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9?9*_*9*9,0.0,-0.5,96,98000,0,0,286,0,0,0,0,0,0,0,360,7.2,10,10,3.2,91,9,'999999999,89,0.0000,0,88,999.000,1.0,1.0
2019/1/1,05:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9?9*_*9*9,0.0,-1.0,93,98200,0,0,278,0,0,0,0,0,0,0,320,9.3,9,9,3.2,152,9,'999999999,89,0.0000,0,88,999.000,1.0,1.0
2019/1/1,06:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9?9*_*9*9,0.0,-2.0,86,98400,0,0,271,0,0,0,0,0,0,0,300,8.2,8,8,16.1,274,9,'999999999,80,0.0000,0,88,999.000,1.0,1.0
2019/1/1,07:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9?9*_*9*9,-0.5,-2.2,88,98800,0,0,269,0,0,0,0,0,0,0,300,7.7,8,8,24.0,795,9,'999999999,80,0.0000,0,88,999.000,0.0,1.0
2019/1/1,08:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9?9*_*9*9,0.0,-2.0,86,99200,6,312,271,1,245,0,162,0,3,0,310,9.8,8,8,24.1,488,9,'999999999,80,0.0000,0,88,999.000,0.0,1.0
2019/1/1,09:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9?9*_*9*9,-1.0,-3.0,86,99500,145,1411,272,62,246,37,6847,0,4075,159,310,8.8,9,9,24.1,701,9,'999999999,80,0.0000,0,88,999.000,0.0,1.0
2019/1/1,10:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9?9*_*9*9,-1.8,-4.2,83,99700,313,1411,275,149,293,84,16507,11978,9335,389,300,9.3,10,10,24.0,670,9,'999999999,69,0.0000,0,88,999.000,0.0,1.0
2019/1/1,11:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9?9*_*9*9,-3.0,-6.0,79,100000,436,1411,255,254,493,102,28701,27355,11518,492,310,9.3,8,8,24.1,640,9,'999999999,60,0.0000,0,88,999.000,0.0,1.0
2019/1/1,12:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9?9*_*9*9,-4.0,-8.0,74,100100,503,1411,243,354,779,76,41634,41221,9013,379,300,9.3,6,6,24.1,610,9,'999999999,50,0.0000,0,88,999.000,0.0,1.0
2019/1/1,13:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9?9*_*9*9,-5.4,-9.3,74,100200,510,1411,235,386,910,57,46482,44549,6905,285,310,7.7,5,5,24.0,77777,9,'999999999,50,0.0000,0,88,999.000,0.0,1.0
2019/1/1,14:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9?9*_*9*9,-6.0,-11.0,68,100300,455,1411,228,363,1010,37,44611,40599,4517,179,330,7.2,3,3,24.1,77777,9,'999999999,40,0.0000,0,88,999.000,0.0,1.0
2019/1/1,15:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9?9*_*9*9,-6.0,-11.0,68,100500,344,1411,228,269,996,26,32970,24668,3244,124,310,7.2,3,3,24.1,77777,9,'999999999,40,0.0000,0,88,999.000,0.0,1.0
2019/1/1,16:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9?9*_*9*9,-7.5,-13.2,64,100700,183,1411,222,134,906,16,16113,0,1940,71,310,6.7,4,4,24.0,77777,9,'999999999,40,0.0000,0,88,999.000,0.0,1.0
2019/1/1,17:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9?9*_*9*9,-9.0,-14.0,68,100800,19,586,218,7,520,0,1360,0,0,0,280,5.1,5,5,24.1,77777,9,'999999999,30,0.0000,0,88,999.000,0.0,1.0
2019/1/1,18:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9?9*_*9*9,-11.0,-14.0,79,100900,0,0,212,0,0,0,0,0,0,0,280,4.6,5,5,24.1,77777,9,'999999999,30,0.0000,0,88,999.000,0.0,1.0
2019/1/1,19:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9?9*_*9*9,-11.1,-15.3,72,101000,0,0,207,0,0,0,0,0,0,0,310,5.7,3,3,24.0,77777,9,'999999999,30,0.0000,0,88,999.000,0.0,1.0
2019/1/1,20:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9?9*_*9*9,-12.0,-16.0,73,101000,0,0,204,0,0,0,0,0,0,0,300,5.1,3,3,24.1,77777,9,'999999999,30,0.0000,0,88,999.000,0.0,1.0
2019/1/1,21:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9?9*_*9*9,-13.0,-18.0,67,101100,0,0,202,0,0,0,0,0,0,0,330,4.6,5,5,24.1,77777,9,'999999999,30,0.0000,0,88,999.000,0.0,1.0
2019/1/1,22:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9?9*_*9*9,-14.2,-18.4,72,101100,0,0,195,0,0,0,0,0,0,0,330,5.1,3,3,24.0,77777,9,'999999999,30,0.0000,0,88,999.000,0.0,1.0
2019/1/1,23:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9?9*_*9*9,-15.0,-20.0,67,101100,0,0,184,0,0,0,0,0,0,0,330,5.7,0,0,24.1,77777,9,'999999999,20,0.0000,0,88,999.000,0.0,1.0
2019/1/1,24:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9?9*_*9*9,-16.0,-20.0,73,101200,0,0,189,0,0,0,0,0,0,0,320,5.1,3,3,24.1,77777,9,'999999999,20,0.0000,0,88,999.000,0.0,1.0
2019/1/2,01:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9?9*_*9*9,-16.6,-20.7,72,101200,0,0,189,0,0,0,0,0,0,0,320,5.1,5,5,24.0,77777,9,'999999999,20,0.0000,0,88,999.000,0.0,1.0
2019/1/2,02:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9?9*_*9*9,-17.0,-21.0,72,101200,0,0,188,0,0,0,0,0,0,0,320,3.6,5,5,24.1,77777,9,'999999999,20,0.0000,0,88,999.000,0.0,1.0
2019/1/2,03:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9?9*_*9*9,-17.0,-21.0,72,101300,0,0,188,0,0,0,0,0,0,0,300,2.6,5,5,24.1,5791,9,'999999999,20,0.0000,0,88,999.000,0.0,1.0
2019/1/2,04:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9?9*_*9*9,-16.8,-20.8,72,101400,0,0,190,0,0,0,0,0,0,0,310,3.1,6,6,24.0,5486,9,'999999999,20,0.0000,0,88,999.000,0.0,1.0
2019/1/2,05:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9?9*_*9*9,-17.0,-21.0,72,101400,0,0,186,0,0,0,0,0,0,0,320,3.6,4,4,24.1,5182,9,'999999999,20,0.0000,0,88,999.000,0.0,1.0
2019/1/2,06:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9?9*_*9*9,-18.0,-22.0,72,101400,0,0,181,0,0,0,0,0,0,0,330,2.6,3,3,24.1,77777,9,'999999999,20,0.0000,0,88,999.000,0.0,1.0
