,tSa,tRa,tOa,pSa,sOa,sHc,sCc,sFan,tSaSp,pSaSp
2019-01-01 0:00,17.96267509,21.54844592,-0.803788006,314.480011,69.89969635,0,0,54.74998474,18,300
2019-01-01 1:00,17.94985008,21.53453079,0.08754511,314.480011,69.89969635,0,0,54.74998474,18,300
2019-01-01 2:00,17.96827507,21.5301075,0.619937003,314.480011,69.89969635,0,0,54.74998474,18,300
2019-01-01 3:00,17.98315048,21.51260757,0.495156502,314.480011,69.89969635,0,0,54.74998474,18,300
2019-01-01 4:00,17.96060038,21.51927684,0.261569656,314.480011,64.89420319,0,0,54.74998474,18,300
2019-01-01 5:00,17.93397474,21.52408438,-0.169394499,314.480011,64.89420319,0,0,54.74998474,18,300
2019-01-01 6:00,18.0760746,21.51683837,-0.214108499,314.480011,59.85440063,0,0,54.74998474,18,300
2019-01-01 7:00,17.9598999,21.53839214,-0.155175302,314.480011,64.85900116,0,0,54.74998474,18,300
2019-01-01 8:00,17.98337507,21.52121529,0.246157583,314.480011,62.37617588,0,0,54.74998474,18,300
2019-01-01 9:00,18.07102489,21.50011547,-0.190604695,314.480011,64.89600372,0,0,54.74998474,18,300
2019-01-01 10:00,18.06615019,21.41816139,-0.75939097,314.480011,58.18439992,0,0,54.74998474,18,300
2019-01-01 11:00,17.90275002,21.27796936,-2.113384982,314.480011,62.36970043,0,0,54.74998474,18,300
2019-01-01 12:00,17.92662477,21.30247703,-3.019313335,314.480011,54.86019897,0,0,54.74998474,18,300
2019-01-01 13:00,17.99329996,21.33255372,-3.545211713,314.480011,52.37039948,0,0,54.74998474,18,300
2019-01-01 14:00,17.94919968,21.32065377,-4.913380067,314.480011,47.33500004,0,0,54.74998474,18,300
2019-01-01 15:00,17.97907495,21.32668451,-4.977784952,314.480011,44.8409996,0,0,59.75624084,18,300
2019-01-01 16:00,17.98390007,21.43246929,-6.255634944,314.480011,52.38310051,0,0,54.74365997,18,300
2019-01-01 17:00,18.01270008,21.59510803,-7.159071684,314.480011,54.90859985,0,0,54.74365997,18,300
2019-01-01 18:00,17.96000004,21.63636193,-8.237683217,314.480011,58.26623281,0,0,54.74365997,18,300
2019-01-01 19:00,17.84385014,21.62972514,-9.352936745,314.480011,54.9233017,0,0,54.74365997,18,300
2019-01-01 20:00,18.05202484,21.62674173,-10.27052164,314.480011,57.44729996,0,0,54.74365997,18,300
2019-01-01 21:00,18.06519985,21.61571678,-11.17539994,314.480011,54.95843379,0,0,54.74365997,18,300
2019-01-01 22:00,17.98715019,21.62066682,-12.31071647,314.480011,57.48145103,0,0,54.74365997,18,300
2019-01-01 23:00,18.01062489,21.62275839,-13.33951664,314.480011,54.96440125,0,0,54.74365997,18,300
2019-01-02 0:00,18.08767462,21.63052495,-14.05850013,314.480011,49.92350006,0,0,54.74365997,18,300
2019-01-02 1:00,17.96554995,21.58276669,-14.20563348,314.480011,54.95130157,0,0,54.74365997,18,300
2019-01-02 2:00,17.96705008,21.5968167,-14.46116654,314.480011,54.94259898,0,0,54.74365997,18,300
2019-01-02 3:00,17.99182463,21.58827511,-14.35571686,314.480011,52.40295029,0,0,54.74365997,18,300
2019-01-02 4:00,18.07735014,21.58422486,-14.34328349,314.480011,52.38665009,0,0,54.74365997,18,300
2019-01-02 5:00,18.06220007,21.59600846,-14.7880168,314.480011,54.88639832,0,0,54.74365997,18,300
2019-01-02 6:00,18.04609966,21.63585027,-15.31953335,314.480011,51.47579956,0,0,54.74365997,18,300
2019-01-02 7:00,18.00027514,21.65049203,-15.29563316,314.480011,49.80250168,0,0,54.74365997,18,300
2019-01-02 8:00,18.0788002,21.47036648,-15.11048333,314.480011,47.28960037,0,0,54.74365997,18,300
2019-01-02 9:00,17.98887491,21.42031654,-13.89464982,314.480011,47.27759933,0,0,54.74365997,18,300
2019-01-02 10:00,17.97282457,21.50241661,-12.67044973,314.480011,42.28240013,0,0,54.74365997,18,300
2019-01-02 11:00,18.01605034,21.5143582,-11.06514994,314.480011,39.78380076,0,0,59.74357986,18,300
2019-01-02 12:00,17.98377514,21.49287478,-9.925470034,314.480011,37.24490166,0,0,59.74357986,18,300
2019-01-02 13:00,18.03207493,21.51395814,-9.11165158,314.480011,44.75696564,0,0,59.74357986,18,300
2019-01-02 14:00,17.95634937,21.48905818,-8.876908302,314.480011,49.76279831,0,0,59.74357986,18,300
2019-01-02 15:00,18.00005007,21.51130819,-9.597418308,314.480011,49.76846568,0,0,54.74145889,18,300
2019-01-02 16:00,18.00329971,21.54367495,-10.51921002,314.480011,49.76509857,0,0,54.74145889,18,300
2019-01-02 17:00,18.04404974,21.57076661,-11.18764989,314.480011,57.30939865,0,0,54.74145889,18,300
2019-01-02 18:00,18.01172495,21.5659833,-11.55969985,314.480011,54.81090164,0,0,54.74145889,18,300
2019-01-02 19:00,18.02909994,21.55886666,-11.3410333,314.480011,54.81090164,0,0,54.74145889,18,300
2019-01-02 20:00,17.99860048,21.51490831,-10.36514997,314.480011,59.81629944,0,0,54.74145889,18,300
2019-01-02 21:00,18.05087519,21.45465008,-10.81276671,314.480011,59.81629944,0,0,54.74145889,18,300
2019-01-02 22:00,17.95664978,21.58583307,-10.58313338,314.480011,57.28525162,0,0,54.74145889,18,300
