TL Name,TL Reference,Monitored Object Name,Monitored Object Reference,Monitored Object Last Sample,Object Name Similarity %,TL Polling Frequency,Monitored Object Unit
CS_ION7330_CHILLER1_Total_Instantaneous_Real_Power_3_Phase_Total_TL,2169.420100.TL101,CS_ION7330_CHILLER1_Total_Instantaneous_Real_Power_3_Phase_Total,420100.AV101.Present_Value,2020-04-13 07:54:28,96.0,30000,kW
CS_ION7330_CHILLER1_Real_Energy_Consumption_TL,2169.420100.TL102,CS_ION7330_CHILLER1_Real_Energy_Consumption_MSR_LSR,420100.AV102.Present_Value,2020-04-13 07:54:33,86.0,30000,kWh
CS_ION7330_CHILLER1_Current_Average_of_3_Phases_TL,2169.420100.TL103,CS_ION7330_CHILLER1_Current_Average_of_3_Phases,420100.AV103.Present_Value,2020-04-13 07:54:38,94.0,30000,
CS_ION7330_CHILLER1_Voltage_L_L_Average_of_3_Phases_TL,2169.420100.TL104,CS_ION7330_CHILLER1_Voltage_L_L_Average_of_3_Phases,420100.AV104.Present_Value,2020-04-13 07:54:42,94.0,30000,V
CS_ION7330_CHILLER1_Current_Instantaneous_Phase_A_TL,2169.420100.TL105,CS_ION7330_CHILLER1_Current_Instantaneous_Phase_A,420100.AV105.Present_Value,2020-04-13 07:54:46,94.0,90000,A
CS_ION7330_CHILLER1_Current_Instantaneous_Phase_B_TL,2169.420100.TL106,CS_ION7330_CHILLER1_Current_Instantaneous_Phase_B,420100.AV106.Present_Value,2020-04-13 07:54:51,94.0,30000,A
CS_ION7330_CHILLER1_Current_Instantaneous_Phase_C_TL,2169.420100.TL107,CS_ION7330_CHILLER1_Current_Instantaneous_Phase_C,420100.AV107.Present_Value,2020-04-13 07:54:56,94.0,30000,A
CS_ION7330_CHILLER1_Voltage_Phase_A_B_TL,2169.420100.TL108,CS_ION7330_CHILLER1_Voltage_Phase_A_B,420100.AV108.Present_Value,2020-04-13 07:54:07,93.0,30000,V
CS_ION7330_CHILLER1_Voltage_Phase_B_C_TL,2169.420100.TL109,CS_ION7330_CHILLER1_Voltage_Phase_B_C,420100.AV109.Present_Value,2020-04-13 07:54:11,93.0,30000,V
CS_ION7330_CHILLER1_Voltage_Phase_A_C_TL,2169.420100.TL110,CS_ION7330_CHILLER1_Voltage_Phase_A_C,420100.AV110.Present_Value,2020-04-13 07:54:16,93.0,30000,V
CS_ION7330_CHILLER1_Voltage_Phase_A_N_TL,2169.420100.TL111,CS_ION7330_CHILLER1_Voltage_Phase_A_N,420100.AV111.Present_Value,2020-04-13 07:54:20,93.0,30000,V
CS_ION7330_CHILLER1_Voltage_Phase_B_N_TL,2169.420100.TL112,CS_ION7330_CHILLER1_Voltage_Phase_B_N,420100.AV112.Present_Value,2020-04-13 07:54:24,93.0,30000,V
CS_ION7330_CHILLER1_Voltage_Phase_C_N_TL,2169.420100.TL113,CS_ION7330_CHILLER1_Voltage_Phase_C_N,420100.AV113.Present_Value,2020-04-13 07:54:29,93.0,30000,V
CS_ION7330_CHILLER1_Real_Power_Phase_A_TL,2169.420100.TL114,CS_ION7330_CHILLER1_Real_Power_Phase_A,420100.AV114.Present_Value,2020-04-13 07:54:33,93.0,30000,kW
CS_ION7330_CHILLER1_Real_Power_Phase_B_TL,2169.420100.TL115,CS_ION7330_CHILLER1_Real_Power_Phase_B,420100.AV115.Present_Value,2020-04-13 07:54:38,93.0,30000,kW
CS_ION7330_CHILLER1_Real_Power_Phase_C_TL,2169.420100.TL116,CS_ION7330_CHILLER1_Real_Power_Phase_C,420100.AV116.Present_Value,2020-04-13 07:54:42,93.0,30000,kW
CS_ION7330_CHILLER1_Total_Power_Factor_TL,2169.420100.TL117,CS_ION7330_CHILLER1_Total_Power_Factor,420100.AV117.Present_Value,2020-04-13 07:54:47,93.0,30000,
CS_ION7330_CHILLER1_Power_Factor_Phase_A_TL,2169.420100.TL118,CS_ION7330_CHILLER1_Power_Factor_Phase_A,420100.AV118.Present_Value,2020-04-13 07:54:52,93.0,30000,
CS_ION7330_CHILLER1_Power_Factor_Phase_B_TL,2169.420100.TL119,CS_ION7330_CHILLER1_Power_Factor_Phase_B,420100.AV119.Present_Value,2020-04-13 07:54:56,93.0,30000,
CS_ION7330_CHILLER1_Power_Factor_Phase_C_TL,2169.420100.TL120,CS_ION7330_CHILLER1_Power_Factor_Phase_C,420100.AV120.Present_Value,2020-04-13 07:54:07,93.0,30000,
CS_ION7330_CHILLER1_Frequency_derived_from_Phase_A_TL,2169.420100.TL121,CS_ION7330_CHILLER1_Frequency_derived_from_Phase_A,420100.AV121.Present_Value,2020-04-13 07:54:12,94.0,30000,Hz
CS_ION7330_CHILLER1_Total_Real_Power_Present_Demand_TL,2169.420100.TL122,CS_ION7330_CHILLER1_Total_Real_Power_Present_Demand,420100.AV122.Present_Value,2020-04-13 07:54:16,94.0,30000,kW
CS_ION7330_CHILLER1_Total_Real_Power_Max_Demand_TL,2169.420100.TL123,CS_ION7330_CHILLER1_Total_Real_Power_Max_Demand,420100.AV123.Present_Value,2020-04-13 07:54:21,94.0,30000,kW
CS_ION7330_CHILLER1_Command_Register_Reset_TL,2169.420100.TL124,CS_ION7330_CHILLER1_Command_Register_Reset,420100.AV124.Present_Value,2020-04-13 07:54:24,93.0,30000,$Currency10
CS_ION7330_CHILLER1_Diagnostic_Alert_TL,2169.420100.TL125,CS_ION7330_CHILLER1_Diagnostic_Alert,420100.AV125.Present_Value,2020-04-13 07:54:29,92.0,30000,
CS_ION7330_CHILLER1_CS_CHWF_TL,2169.420100.TL126,CS_ION7330_CHILLER1_CS_CHWF,420100.AV126.Present_Value,2020-04-13 07:54:33,90.0,30000,L/min
CS_ION7330_CHILLER1_CS_CHWRT_TL,2169.420100.TL127,CS_ION7330_CHILLER1_CS_CHWRT,420100.AV127.Present_Value,2020-04-13 07:54:38,90.0,30000,°C
CS_ION7330_CHILLER1_CS_CHWST_TL,2169.420100.TL128,CS_ION7330_CHILLER1_CS_CHWST,420100.AV128.Present_Value,2020-04-13 07:54:42,90.0,30000,°C
CS_ION7330_CHILLER1_CANAL_INST_KBTUHR_TL,2169.420100.TL129,CS_ION7330_CHILLER1_CANAL_INST_KBTUHR,420100.AV129.Present_Value,2020-04-13 07:54:47,93.0,30000,MBH
CS_ION7330_CHILLER1_CANAL_TOTAL_KBTU_TL,2169.420100.TL130,CS_ION7330_CHILLER1_CANAL_TOTAL_KBTU,420100.AV130.Present_Value,2020-04-13 07:54:52,92.0,30000,MBtu
CS_ION7330_CHILLER2_Total_Instantaneous_Real_Power_3_Phase_Total_TL,2169.420100.TL201,CS_ION7330_CHILLER2_Total_Instantaneous_Real_Power_3_Phase_Total,420100.AV201.Present_Value,2020-04-13 07:54:24,96.0,30000,kW
