,tSa,tRa,tOa,pSa,sOa,sHc,sCc,sFan,tSaSp,pSaSp
2019-01-01 0:00,14.51232505,19.24845028,-0.803788006,0,0,13.6988167,0,0,13,400
2019-01-01 1:00,14.39549994,19.15647507,0.08754511,0,0,20.42764997,0,0,13,400
2019-01-01 2:00,14.60059977,19.15674973,0.619937003,0,0,13.82747491,0,0,13,400
2019-01-01 3:00,14.73799992,19.16392469,0.495156502,0,0,16.44384154,0,0,13,400
2019-01-01 4:00,14.61937499,19.24012518,0.261569656,0,0,19.5015831,0,0,13,400
2019-01-01 5:00,14.73934984,19.29190016,-0.169394499,0,0,16.28074161,0,0,13,400
2019-01-01 6:00,14.60255003,19.40062475,-0.214108499,0,0,18.61893336,0,0,13,400
2019-01-01 7:00,14.72552514,19.45275021,-0.155175302,0,0,15.66347504,0,0,13,400
2019-01-01 8:00,14.61960006,19.44777536,0.246157583,0,0,19.19884992,0,0,13,400
2019-01-01 9:00,14.69705009,19.44382477,-0.190604695,0,0,16.46739149,0,0,13,400
2019-01-01 10:00,14.89772511,20.44262505,-0.75939097,166.4755821,48.97358495,10.49698337,0,33.30362511,14.00445008,412.5
2019-01-01 11:00,16.02659988,21.42777538,-2.113384982,408.0506719,55.42776616,0,0,65.35607529,16,400
2019-01-01 12:00,15.93270016,21.53082466,-3.019313335,394.4241689,52.08480072,0,0,65.33337402,16,400
2019-01-01 13:00,16.02329993,21.45679998,-3.545211713,397.8597539,52.09457493,0,0,66.64174843,16,400
2019-01-01 14:00,16.08147526,21.51944971,-4.913380067,399.7617518,52.01189995,0,0,66.32347298,16,400
2019-01-01 15:00,16.00185013,21.45467472,-4.977784952,403.9158351,54.41340065,0,0,66.18072319,16,400
2019-01-01 16:00,16.42085004,20.83327532,-6.255634944,200.2839991,0,8.28300031,0,32.94325066,14.54325,400
2019-01-01 17:00,17.98827457,19.07127523,-7.159071684,0,0,2.751070844,0,0,13,400
2019-01-01 18:00,16.8132,18.71567535,-8.237683217,0,0,0.031328442,0,0,13,400
2019-01-01 19:00,14.9782002,18.79350042,-9.352936745,0,0,5.882292743,0,0,13,400
2019-01-01 20:00,13.45777512,18.98329973,-10.27052164,0,0,18.61272526,0,0,13,400
2019-01-01 21:00,12.94729996,18.99680042,-11.17539994,0,0,19.0824999,0,0,13,400
2019-01-01 22:00,12.76432514,19.06209993,-12.31071647,0,0,18.90056674,0,0,13,400
2019-01-01 23:00,12.50559998,18.93674994,-13.33951664,0,0,18.94246674,0,0,13,400
2019-01-02 0:00,12.32445002,18.90702534,-14.05850013,0,0,19.91251659,0,0,13,400
2019-01-02 1:00,12.14980006,18.72712517,-14.20563348,0,0,19.00844153,0,0,13,400
2019-01-02 2:00,12.14247489,18.80127478,-14.46116654,0,0,19.24476671,0,0,13,400
2019-01-02 3:00,12.12067533,18.69179964,-14.35571686,0,0,18.82052501,0,0,13,400
2019-01-02 4:00,12.12609982,18.69397449,-14.34328349,0,0,19.12268329,0,0,13,400
2019-01-02 5:00,12.10385013,18.71645021,-14.7880168,0,0,18.9058915,0,0,13,400
2019-01-02 6:00,12.00055003,18.60717487,-15.31953335,0,0,18.9598252,0,0,13,400
2019-01-02 7:00,12.02657509,18.66192484,-15.29563316,0,0,19.21640793,0,0,13,400
2019-01-02 8:00,16.02840018,21.59787464,-15.11048333,366.1697489,21.0850147,0,0,63.60367489,16,400
2019-01-02 9:00,15.99265003,21.6819253,-13.89464982,397.2961706,27.51929951,0,0,66.88677597,16,400
2019-01-02 10:00,15.98092484,21.70865011,-12.67044973,392.9986674,24.85090065,0,0,70.89899826,16,400
2019-01-02 11:00,16.01505017,21.81472492,-11.06514994,401.9054998,24.85090065,0,0,72.37872505,16,400
2019-01-02 12:00,15.93652511,21.73215055,-9.925470034,402.3724976,29.86639977,0,0,72.33119965,15.95191662,400
2019-01-02 13:00,15.93252492,21.70187473,-9.11165158,405.6101659,35.04290009,0,0,70.80714989,15.95941663,400
2019-01-02 14:00,15.96160007,21.61552525,-8.876908302,401.8856761,40.1035738,0,0,67.41882515,15.92521667,400
2019-01-02 15:00,15.97720003,21.66359997,-9.597418308,400.8484166,38.06103261,0,0,67.01445007,16,400
2019-01-02 16:00,16.06559992,21.59797478,-10.51921002,401.837087,47.07505035,0,0,66.62997627,16,400
2019-01-02 17:00,15.99059987,21.74567509,-11.18764989,401.9173355,44.49202538,0,0,65.92302513,16,400
2019-01-02 18:00,16.04487514,21.71242476,-11.55969985,400.4419149,44.45185089,0,0,65.12832451,16,400
2019-01-02 19:00,15.94812512,21.70694971,-11.3410333,394.7953288,41.89474869,0,0,65.44622612,16,400
2019-01-02 20:00,15.99790001,21.68895006,-10.36514997,405.3138351,46.87324905,0,0,65.33415222,16,400
2019-01-02 21:00,15.99457502,21.68039942,-10.81276671,396.9903336,41.81240082,0,0,65.91287422,16,400
2019-01-02 22:00,17.59895039,19.69842482,-10.58313338,0,0,10.08399143,0,0,13.2926333,400
2019-01-02 23:00,17.91627502,18.67042542,-10.57109833,0,0,1.407816119,0,0,13,400
2019-01-03 0:00,16.08315015,18.53634977,-10.19128323,0,0,1.267018842,0,0,13,400
2019-01-03 1:00,14.22197509,18.671525,-10.2633667,0,0,15.12903996,0,0,13,400
2019-01-03 2:00,13.45627522,18.83299971,-10.38488324,0,0,17.64954178,0,0,13,400
2019-01-03 3:00,13.17805004,18.85379982,-10.31330649,0,0,18.75460815,0,0,13,400
2019-01-03 4:00,13.14299965,18.85914946,-10.02556324,0,0,19.57509979,0,0,13,400
2019-01-03 5:00,13.20317507,18.891325,-9.506724834,0,0,19.91490825,0,0,13,400
2019-01-03 6:00,13.30859995,18.97022486,-8.458786647,0,0,18.75708326,0,0,13,400
2019-01-03 7:00,13.32657504,19.02775002,-8.128776709,0,0,18.76864171,0,0,13,400
2019-01-03 8:00,15.93797493,21.55697489,-7.254406611,369.4580816,32.60892493,0,0,64.52569866,15.87305005,400
2019-01-03 9:00,16.02535009,21.59465027,-6.618926684,395.5525792,51.07970047,0,0,65.63615036,16,400
2019-01-03 10:00,16.02237487,21.59797525,-5.914026578,399.4510015,56.14379883,0,0,64.78134918,16,400
2019-01-03 11:00,16.03457499,21.56422472,-4.997048219,398.9835841,56.15383403,0,0,65.15050125,16,400
2019-01-03 12:00,15.99154997,21.60637522,-4.191526691,399.0048294,61.18000031,0,0,65.05057716,16,400
2019-01-03 13:00,15.9482255,21.60347509,-3.729913354,401.9407501,61.18000031,0,0,65.69192696,16,400
2019-01-03 14:00,16.0246501,21.64424992,-3.503448367,398.3119202,61.18000031,0,0,65.51545143,16,400
2019-01-03 15:00,16.02120042,21.66515017,-3.215586702,398.8719177,61.18000031,0,0,65.86797714,16,400
2019-01-03 16:00,15.99962521,21.65499973,-3.083911697,401.6258316,61.18000031,0,0,65.77390099,16,400
2019-01-03 17:00,16.02752495,21.6246748,-3.114486734,398.1666667,61.18000031,0,0,65.07434845,16,400
2019-01-03 18:00,16.03025007,21.63842487,-3.077909986,398.3055827,61.18000031,0,0,65.30492592,16,400
2019-01-03 19:00,15.97530031,21.58972502,-2.339385033,400.9120814,61.18000031,0,0,65.41502571,16,400
2019-01-03 20:00,16.00029993,21.52565002,-2.345321655,399.5737508,61.18000031,0,0,65.93500137,16.00833337,400
2019-01-03 21:00,16.01049995,21.50317478,-1.464104573,402.2560806,66.18530273,0,0,65.25292397,16,400
2019-01-03 22:00,17.66792488,19.87272501,0.324708782,0,0,7.970892521,0,0,13.34062305,400
2019-01-03 23:00,18.45727444,18.98535013,0.899372816,0,0,0.122791347,0,0,13,400
2019-01-04 0:00,17.75619984,18.78662491,0.230930199,0,0,0.002218977,0,0,13,400
2019-01-04 1:00,16.86759996,18.88929987,-0.049415251,0,0,0.005099956,0,0,13.01538467,400
2019-01-04 2:00,16.03499985,18.91042471,-0.0032064,0,0,0.010903797,0,0,13.08461571,400
2019-01-04 3:00,15.37992501,18.8916254,0.715388323,0,0,0.003092842,0,0,13.09230804,400
2019-01-04 4:00,14.99552488,19.00767469,1.202369491,0,0,0.177643133,0,0,13.01538467,400
2019-01-04 5:00,14.92512488,19.08840036,1.920195003,0,0,1.350733023,0,0,13,400
2019-01-04 6:00,14.90324998,19.16607428,2.044174989,0,0,3.366982332,0,0,13,400
2019-01-04 7:00,14.84250021,19.22409964,1.873039981,0,0,5.694475394,0,0,13,400
2019-01-04 8:00,15.33022475,21.33332491,2.086963336,366.2005857,54.36432036,0.528042316,0,67.15442467,15.08676925,412.5
2019-01-04 9:00,15.97264957,21.40887499,2.756014983,402.2419205,70.43759918,0,0,66.16562653,16,400
2019-01-04 10:00,15.99679971,21.3732996,3.11757493,400.0487493,70.43759918,0,0,65.98830032,16,400
2019-01-04 11:00,16.00174999,21.38082504,3.742101669,396.6185811,70.43759918,0,0,66.10140228,16,400
2019-01-04 12:00,15.99862504,21.39577484,3.594089985,401.8977534,70.43759918,0,0,66.38339996,16,400
2019-01-04 13:00,15.96650004,21.40649986,3.878916701,407.45917,72.98614883,0,0,66.15159988,15.96935382,400
2019-01-04 14:00,16.0306251,21.4079752,3.893211722,402.5388336,70.47609711,0,0,65.88867569,16,400
2019-01-04 15:00,16.00347495,21.39537477,4.271658341,398.4144999,70.47609711,0,0,65.93154907,16,400
2019-01-04 16:00,15.97387481,21.43562508,4.196303328,405.6012472,70.47609711,0,0,66.20569992,16,400
2019-01-04 17:00,15.99910021,21.41332531,3.649138371,401.7929179,70.47609711,0,0,65.58649826,16,400
2019-01-04 18:00,15.99314976,21.41989994,3.784923315,404.2261709,70.47609711,0,0,65.39410019,16,400
2019-01-04 19:00,16.02574968,21.35645008,3.576421698,395.0190782,70.47609711,0,0,65.31394958,16,400
2019-01-04 20:00,16.04242516,21.33955002,3.607186635,402.7211562,70.47609711,0,0,64.81742477,16,400
2019-01-04 21:00,16.01530004,21.29502487,3.753998319,398.1286926,70.47609711,0,0,65.08320045,16,400
2019-01-04 22:00,17.80307484,19.95162439,3.557963371,31.75061505,0,3.494396421,0,0,13.46596153,400
2019-01-04 23:00,18.89212513,19.23337507,3.439663331,0,0,0.006299239,0,0,13,400
2019-01-05 0:00,18.52675009,19.0314002,2.748421629,0,0,0,0,0,13,400
2019-01-05 1:00,17.9288497,18.9447751,2.039969961,0,0,0,0,0,13,400
2019-01-05 2:00,17.27637434,18.93637514,2.106400033,0,0,0.000334079,0,0,13,400
2019-01-05 3:00,16.70497513,19.00075054,2.282653371,0,0,0.003032718,0,0,13,400
