time ,wifi counts
2019-04-23 16:16:34,33
2019-04-23 16:21:34,33
2019-04-23 16:26:34,35
2019-04-23 16:31:34,35
2019-04-23 16:36:34,35
2019-04-23 16:41:34,33
2019-04-23 16:46:34,33
2019-04-23 16:51:34,33
2019-04-23 16:56:34,32
2019-04-23 17:01:34,32
2019-04-23 17:06:34,26
2019-04-23 17:11:34,24
2019-04-23 17:16:34,24
2019-04-23 17:21:34,24
2019-04-23 17:26:34,26
2019-04-23 17:31:34,28
2019-04-23 17:36:34,29
2019-04-23 17:41:34,27
2019-04-23 17:46:34,27
2019-04-23 17:51:34,25
2019-04-23 17:56:34,25
2019-04-23 18:01:34,27
2019-04-23 18:06:34,27
2019-04-23 18:11:34,30
2019-04-23 18:16:34,30
2019-04-23 18:21:34,32
2019-04-23 18:26:34,31
2019-04-23 18:31:34,30
2019-04-23 18:36:34,30
2019-04-23 18:41:34,28
2019-04-23 18:46:34,26
2019-04-23 18:51:34,26
2019-04-23 18:56:34,26
2019-04-23 19:01:34,28
2019-04-23 19:06:34,26
2019-04-23 19:11:34,27
2019-04-23 19:16:34,27
2019-04-23 19:21:34,27
2019-04-23 19:26:34,24
2019-04-23 19:31:34,26
2019-04-23 19:36:34,26
2019-04-23 19:41:34,16
2019-04-23 19:46:34,17
2019-04-23 19:51:34,17
2019-04-23 19:56:34,18
2019-04-23 20:01:34,18
2019-04-23 20:06:34,19
2019-04-23 20:11:34,14
2019-04-23 20:16:34,14
2019-04-23 20:21:34,10
2019-04-23 20:26:34,8
2019-04-23 20:31:34,6
2019-04-23 20:36:34,6
2019-04-23 20:41:34,6
2019-04-23 20:46:34,5
2019-04-23 20:51:34,5
2019-04-23 20:56:34,6
2019-04-23 21:01:34,6
2019-04-23 21:06:34,7
2019-04-23 21:11:34,7
2019-04-23 21:16:34,7
2019-04-23 21:21:34,7
2019-04-23 21:26:34,7
2019-04-23 21:31:34,7
2019-04-23 21:36:34,7
2019-04-23 21:41:34,7
2019-04-23 21:46:34,7
2019-04-23 21:51:34,6
2019-04-23 21:56:34,6
2019-04-23 22:01:34,6
2019-04-23 22:06:34,6
2019-04-23 22:11:34,6
2019-04-23 22:16:34,6
2019-04-23 22:21:34,6
2019-04-23 22:26:34,6
2019-04-23 22:31:34,6
2019-04-23 22:36:34,7
2019-04-23 22:41:34,6
2019-04-23 22:46:34,7
2019-04-23 22:51:34,7
2019-04-23 22:56:34,7
2019-04-23 23:01:34,7
2019-04-23 23:06:34,6
2019-04-23 23:11:34,3
2019-04-23 23:16:34,3
2019-04-23 23:21:34,3
2019-04-23 23:26:34,1
2019-04-23 23:31:34,2
2019-04-23 23:36:34,1
2019-04-23 23:41:34,2
2019-04-23 23:46:34,2
2019-04-23 23:51:34,1
2019-04-23 23:56:34,2
2019-04-24 00:01:34,1
2019-04-24 00:06:34,1
2019-04-24 00:11:34,1
2019-04-24 00:16:34,2
2019-04-24 00:21:34,1
2019-04-24 00:26:34,1
2019-04-24 00:31:34,1
2019-04-24 00:36:34,1
2019-04-24 00:41:34,1
2019-04-24 00:46:34,1
2019-04-24 00:51:34,1
2019-04-24 00:56:34,1
2019-04-24 01:01:34,1
2019-04-24 01:06:34,1
2019-04-24 01:11:34,1
2019-04-24 01:16:34,1
2019-04-24 01:21:34,1
2019-04-24 01:26:34,1
2019-04-24 01:31:34,1
2019-04-24 01:36:34,1
2019-04-24 01:41:34,1
